TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Winter 2022-23,UHF42,105,4,Crotona -Tremont,6.4,6.9,6.7
Winter 2022-23,UHF42,106,4,High Bridge - Morrisania,6.3,6.8,6.5
Winter 2022-23,UHF42,107,4,Hunts Point - Mott Haven,5.9,7.2,6.7
Winter 2022-23,UHF42,201,4,Greenpoint,6.7,7.2,7.0
Winter 2022-23,UHF42,202,4,Downtown - Heights - Slope,6.4,7.2,6.8
Winter 2022-23,UHF42,203,4,Bedford Stuyvesant - Crown Heights,6.2,6.8,6.4
Winter 2022-23,UHF42,204,4,East New York,6.0,6.6,6.3
Winter 2022-23,UHF42,205,4,Sunset Park,6.0,7.3,6.6
Winter 2022-23,UHF42,206,4,Borough Park,5.9,6.2,6.1
Winter 2022-23,UHF42,207,4,East Flatbush - Flatbush,5.9,6.3,6.1
Winter 2022-23,UHF42,208,4,Canarsie - Flatlands,5.5,6.3,5.8
Winter 2022-23,UHF42,209,4,Bensonhurst - Bay Ridge,5.7,6.3,6.0
Winter 2022-23,UHF42,210,4,Coney Island - Sheepshead Bay,5.6,5.9,5.8
Winter 2022-23,UHF42,211,4,Williamsburg - Bushwick,6.4,7.5,6.9
Winter 2022-23,UHF42,301,4,Washington Heights,6.6,6.9,6.7
Winter 2022-23,UHF42,302,4,Central Harlem - Morningside Heights,6.5,6.7,6.6
Winter 2022-23,UHF42,303,4,East Harlem,6.4,6.6,6.5
Winter 2022-23,UHF42,304,4,Upper West Side,6.3,6.6,6.4
Winter 2022-23,UHF42,305,4,Upper East Side,6.4,7.0,6.7
Winter 2022-23,UHF42,306,4,Chelsea - Clinton,7.1,9.3,8.4
Winter 2022-23,UHF42,307,4,Gramercy Park - Murray Hill,7.0,9.1,7.9
Winter 2022-23,UHF42,308,4,Greenwich Village - SoHo,7.5,8.8,8.1
Winter 2022-23,UHF42,309,4,Union Square - Lower East Side,6.5,9.0,7.6
Winter 2022-23,UHF42,310,4,Lower Manhattan,6.9,7.7,7.3
Winter 2022-23,UHF42,401,4,Long Island City - Astoria,6.5,7.2,6.9
Winter 2022-23,UHF42,402,4,West Queens,6.2,7.2,6.7
Winter 2022-23,UHF42,403,4,Flushing - Clearview,5.9,6.7,6.2
Winter 2022-23,UHF42,404,4,Bayside - Little Neck,5.7,6.1,5.9
Winter 2022-23,UHF42,405,4,Ridgewood - Forest Hills,5.9,6.7,6.3
Winter 2022-23,UHF42,406,4,Fresh Meadows,5.8,6.0,5.9
Winter 2022-23,UHF42,407,4,Southwest Queens,5.7,6.3,6.0
Winter 2022-23,UHF42,408,4,Jamaica,5.6,6.4,5.9
Winter 2022-23,UHF42,409,4,Southeast Queens,5.4,5.8,5.6
Winter 2022-23,UHF42,410,4,Rockaways,5.1,5.4,5.3
Winter 2022-23,UHF42,501,4,Port Richmond,5.7,6.0,5.9
Winter 2022-23,UHF42,502,4,Stapleton - St. George,5.5,5.9,5.7
Winter 2022-23,UHF42,503,4,Willowbrook,5.4,5.8,5.6
Winter 2022-23,UHF42,504,4,South Beach - Tottenville,5.2,5.5,5.3
Winter 2022-23,UHF34,101,3,Kingsbridge - Riverdale,6.4,6.7,6.6
Winter 2022-23,UHF34,102,3,Northeast Bronx,6.4,6.7,6.5
Winter 2022-23,UHF34,103,3,Fordham - Bronx Pk,6.5,6.8,6.6
Winter 2022-23,UHF34,104,3,Pelham - Throgs Neck,6.1,6.9,6.5
Winter 2022-23,UHF34,201,3,Greenpoint,6.7,7.2,7.0
Winter 2022-23,UHF34,202,3,Downtown - Heights - Slope,6.4,7.2,6.8
Winter 2022-23,UHF34,203,3,Bedford Stuyvesant - Crown Heights,6.2,6.8,6.4
Winter 2022-23,UHF34,204,3,East New York,6.0,6.6,6.3
Winter 2022-23,UHF34,205,3,Sunset Park,6.0,7.3,6.6
Winter 2022-23,UHF34,206,3,Borough Park,5.9,6.2,6.1
Winter 2022-23,UHF34,207,3,East Flatbush - Flatbush,5.9,6.3,6.1
Winter 2022-23,UHF34,208,3,Canarsie - Flatlands,5.5,6.3,5.8
Winter 2022-23,UHF34,209,3,Bensonhurst - Bay Ridge,5.7,6.3,6.0
Winter 2022-23,UHF34,210,3,Coney Island - Sheepshead Bay,5.6,5.9,5.8
Winter 2022-23,UHF34,211,3,Williamsburg - Bushwick,6.4,7.5,6.9
Winter 2022-23,UHF34,301,3,Washington Heights,6.6,6.9,6.7
Winter 2022-23,UHF34,302,3,Central Harlem - Morningside Heights,6.5,6.7,6.6
Winter 2022-23,UHF34,303,3,East Harlem,6.4,6.6,6.5
Winter 2022-23,UHF34,304,3,Upper West Side,6.3,6.6,6.4
Winter 2022-23,UHF34,401,3,Long Island City - Astoria,6.5,7.2,6.9
Winter 2022-23,UHF34,402,3,West Queens,6.2,7.2,6.7
Winter 2022-23,UHF34,403,3,Flushing - Clearview,5.9,6.7,6.2
Winter 2022-23,UHF34,405,3,Ridgewood - Forest Hills,5.9,6.7,6.3
Winter 2022-23,UHF34,407,3,Southwest Queens,5.7,6.3,6.0
Winter 2022-23,UHF34,408,3,Jamaica,5.6,6.4,5.9
Winter 2022-23,UHF34,409,3,Southeast Queens,5.4,5.8,5.6
Winter 2022-23,UHF34,410,3,Rockaways,5.1,5.4,5.3
Winter 2022-23,UHF34,305307,3,Upper East Side-Gramercy,6.5,8.7,7.3
Winter 2022-23,UHF34,306308,3,Chelsea-Village  ,7.3,9.3,8.3
Winter 2022-23,UHF34,309310,3,Union Square-Lower Manhattan,6.6,8.8,7.5
Winter 2022-23,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,5.7,6.0,5.9
Winter 2022-23,UHF34,501502,3,Northern SI,5.5,6.0,5.7
Winter 2022-23,UHF34,503504,3,Southern SI,5.2,5.7,5.4
Winter 2022-23,UHF34,105106107,3,South Bronx,6.3,7.1,6.7
Winter 2022-23,Borough,1,1,Bronx,6.3,6.9,6.6
Winter 2022-23,Borough,2,1,Brooklyn,5.7,7.0,6.3
Winter 2022-23,Borough,3,1,Manhattan,6.4,8.8,7.2
Winter 2022-23,Borough,4,1,Queens,5.5,6.8,6.1
